Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Walker Kessler,C,22,UTA,8,8,24.0,3.5,6.4,.549,0.3,0.8,.333,3.3,5.6,.578,.569,1.0,1.6,.615,3.4,4.5,7.9,0.3,0.0,2.1,1.0,2.1,8.3
Braxton Key,SF,26,DEN,4,0,2.5,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.5,0.5
Corey Kispert,SF,24,WAS,12,0,22.6,3.5,7.5,.467,1.8,4.8,.362,1.8,2.7,.656,.583,1.6,2.0,.792,0.7,1.8,2.4,1.6,0.4,0.0,1.0,1.6,10.3
Maxi Kleber,C,32,DAL,5,1,18.0,0.8,3.2,.250,0.6,1.8,.333,0.2,1.4,.143,.344,1.2,2.0,.600,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4
Kevin Knox,SF,24,DET,4,2,27.5,4.8,9.3,.514,2.0,4.5,.444,2.8,4.8,.579,.622,0.3,0.5,.500,1.3,4.0,5.3,0.8,1.0,0.3,1.0,2.8,11.8
John Konchar,SF,27,MEM,10,2,19.4,1.5,3.5,.429,0.8,2.0,.400,0.7,1.5,.467,.543,0.0,0.0,,1.0,3.1,4.1,1.9,0.8,0.7,0.4,1.1,3.8
Furkan Korkmaz,SG,26,PHI,10,0,7.5,0.8,2.0,.400,0.3,0.9,.333,0.5,1.1,.455,.475,0.4,0.6,.667,0.1,0.5,0.6,0.3,0.5,0.0,0.6,0.4,2.3
Luke Kornet,C,28,BOS,10,0,12.3,1.7,2.1,.810,0.0,0.0,,1.7,2.1,.810,.810,0.6,0.8,.750,1.2,2.3,3.5,0.6,0.4,0.3,0.3,1.0,4.0
Jonathan Kuminga,PF,21,GSW,14,1,20.4,4.2,9.7,.434,0.4,2.3,.188,3.8,7.4,.510,.456,3.1,4.3,.717,0.9,2.4,3.3,0.9,0.6,0.4,1.5,2.5,11.9
Kyle Kuzma,PF,28,WAS,13,13,30.4,9.2,19.4,.476,2.4,6.7,.356,6.8,12.7,.539,.538,2.5,3.2,.786,1.1,4.6,5.7,3.9,0.3,0.5,2.2,1.8,23.4
Jock Landale,C,28,HOU,10,0,9.2,0.6,2.1,.286,0.2,0.9,.222,0.4,1.2,.333,.333,0.2,0.2,1.000,0.9,1.2,2.1,0.8,0.3,0.2,0.7,0.7,1.6
